journal,year,issue,category,detail,source_url
政治学研究,1995,5,no_public_source_found,未在当前已整理数据或本次低频公开检索中找到该期目录,
政治学研究,1995,6,no_public_source_found,未在当前已整理数据或本次低频公开检索中找到该期目录,
政治学研究,1996,5,no_public_source_found,未在当前已整理数据或本次低频公开检索中找到该期目录,
政治学研究,1996,6,no_public_source_found,未在当前已整理数据或本次低频公开检索中找到该期目录,
政治学研究,1997,2,no_public_source_found,未在当前已整理数据或本次低频公开检索中找到该期目录,
政治学研究,1997,3,no_public_source_found,未在当前已整理数据或本次低频公开检索中找到该期目录,
政治学研究,1997,5,no_public_source_found,未在当前已整理数据或本次低频公开检索中找到该期目录,
政治学研究,1997,6,no_public_source_found,未在当前已整理数据或本次低频公开检索中找到该期目录,
政治学研究,1998,5,no_public_source_found,未在当前已整理数据或本次低频公开检索中找到该期目录,
政治学研究,1998,6,no_public_source_found,未在当前已整理数据或本次低频公开检索中找到该期目录,
政治学研究,1999,4,no_public_source_found,未在当前已整理数据或本次低频公开检索中找到该期目录,
政治学研究,1999,5,no_public_source_found,未在当前已整理数据或本次低频公开检索中找到该期目录,
政治学研究,1999,6,no_public_source_found,未在当前已整理数据或本次低频公开检索中找到该期目录,
政治学研究,2000,3,no_public_source_found,未在当前已整理数据或本次低频公开检索中找到该期目录,
政治学研究,2000,5,no_public_source_found,未在当前已整理数据或本次低频公开检索中找到该期目录,
政治学研究,2000,6,no_public_source_found,未在当前已整理数据或本次低频公开检索中找到该期目录,
政治学研究,2001,5,no_public_source_found,未在当前已整理数据或本次低频公开检索中找到该期目录,
政治学研究,2001,6,no_public_source_found,未在当前已整理数据或本次低频公开检索中找到该期目录,
政治学研究,2002,5,no_public_source_found,未在当前已整理数据或本次低频公开检索中找到该期目录,
政治学研究,2002,6,no_public_source_found,未在当前已整理数据或本次低频公开检索中找到该期目录,
政治学研究,2003,5,no_public_source_found,未在当前已整理数据或本次低频公开检索中找到该期目录,
政治学研究,2003,6,no_public_source_found,未在当前已整理数据或本次低频公开检索中找到该期目录,
政治学研究,2004,5,no_public_source_found,未在当前已整理数据或本次低频公开检索中找到该期目录,
政治学研究,2004,6,no_public_source_found,未在当前已整理数据或本次低频公开检索中找到该期目录,
政治学研究,2005,5,no_public_source_found,未在当前已整理数据或本次低频公开检索中找到该期目录,
政治学研究,2005,6,no_public_source_found,未在当前已整理数据或本次低频公开检索中找到该期目录,
政治学研究,2006,1,no_public_source_found,未在当前已整理数据或本次低频公开检索中找到该期目录,
政治学研究,2006,4,no_public_source_found,未在当前已整理数据或本次低频公开检索中找到该期目录,
政治学研究,2006,5,no_public_source_found,未在当前已整理数据或本次低频公开检索中找到该期目录,
政治学研究,2006,6,no_public_source_found,未在当前已整理数据或本次低频公开检索中找到该期目录,
政治学研究,2007,5,no_public_source_found,未在当前已整理数据或本次低频公开检索中找到该期目录,
政治学研究,2007,6,no_public_source_found,未在当前已整理数据或本次低频公开检索中找到该期目录,
政治学研究,2008,3,no_public_source_found,未在当前已整理数据或本次低频公开检索中找到该期目录,
政治学研究,2010,3,no_public_source_found,未在当前已整理数据或本次低频公开检索中找到该期目录,
政治学研究,2014,3,no_public_source_found,未在当前已整理数据或本次低频公开检索中找到该期目录,
政治学研究,2014,5,no_public_source_found,未在当前已整理数据或本次低频公开检索中找到该期目录,
政治学研究,2016,1,no_public_source_found,未在当前已整理数据或本次低频公开检索中找到该期目录,
政治学研究,2016,5,no_public_source_found,未在当前已整理数据或本次低频公开检索中找到该期目录,
政治学研究,2016,6,no_public_source_found,未在当前已整理数据或本次低频公开检索中找到该期目录,
政治学研究,2017,1,no_public_source_found,未在当前已整理数据或本次低频公开检索中找到该期目录,
政治学研究,2017,2,no_public_source_found,未在当前已整理数据或本次低频公开检索中找到该期目录,
